Species,Weight,Length1,Length2,Length3,Height,Width,Volume,Density,Length_Avg,Height_Width_Ratio,Length_Diff_1_2,Length_Diff_2_3,Species_Encoded
Bream,242.0,23.2,25.4,30.0,11.52,4.02,1074.4012799999998,0.22524151754406185,26.2,2.8649589654314846,2.1999999999999993,4.600000000000001,0
Bream,290.0,24.0,26.3,31.2,12.48,4.3056,1289.613312,0.2248734348723636,27.166666666666668,2.897877676125017,2.3000000000000007,4.899999999999999,0
Bream,340.0,23.9,26.5,31.1,12.3778,4.6961,1389.244539262,0.2447371543698575,27.166666666666668,2.6352004428264246,2.6000000000000014,4.600000000000001,0
Bream,363.0,26.3,29.0,33.5,12.73,4.4555,1491.6969445000002,0.24334685271801013,29.599999999999998,2.8565017390328733,2.6999999999999993,4.5,0
Bream,430.0,26.5,29.0,34.0,12.444,5.134,1693.0186440000002,0.25398405832082593,29.833333333333332,2.4233690360272635,2.5,5.0,0
Bream,450.0,26.8,29.7,34.7,13.6024,4.9274,1796.2556823679997,0.2505209886856295,30.400000000000002,2.760003246489733,2.8999999999999986,5.0000000000000036,0
Bream,500.0,26.8,29.7,34.5,14.1795,5.2785,2005.8859521000002,0.24926629064341874,30.333333333333332,2.685765697509234,2.8999999999999986,4.800000000000001,0
Bream,390.0,27.6,30.0,35.0,12.67,4.69,1640.0554800000002,0.23779668856282313,30.866666666666664,2.7009166489021528,2.3999999999999986,5.0,0
Bream,450.0,27.6,30.0,35.1,14.0049,4.8438,1872.2993955119998,0.24034604761002729,30.900000000000002,2.890707562747688,2.3999999999999986,5.100000000000001,0
Bream,500.0,28.5,30.7,36.2,14.2266,4.9594,2010.8289011399997,0.2486535532998266,31.8,2.8680348359003305,2.1999999999999993,5.5000000000000036,0
Bream,475.0,28.4,31.0,36.2,14.2628,5.1042,2067.5252187839997,0.2297431566693107,31.866666666666664,2.7937788921100055,2.6000000000000014,5.200000000000003,0
Bream,500.0,28.7,31.0,36.2,14.3714,4.8146,1985.8259680280003,0.2517842732776051,31.96666666666667,2.9843425533682195,2.3000000000000007,5.200000000000003,0
Bream,500.0,29.1,31.5,36.4,13.7592,4.368,1748.9154009600002,0.2858913094562692,32.333333333333336,3.1492790112153806,2.3999999999999986,4.899999999999999,0
Bream,340.0,29.5,32.0,37.3,13.9129,5.0728,2082.03209404,0.16330191915454148,32.93333333333333,2.742106507942765,2.5,5.299999999999997,0
Bream,600.0,29.4,32.0,37.2,14.9544,5.1708,2273.390618688,0.26392285212446887,32.86666666666667,2.8915271278858423,2.6000000000000014,5.200000000000003,0
Bream,600.0,29.4,32.0,37.2,15.438,5.58,2532.6347760000003,0.2369073380727604,32.86666666666667,2.766170937108045,2.6000000000000014,5.200000000000003,0
Bream,700.0,30.4,33.0,38.3,14.8604,5.2854,2387.7120080639997,0.29316756144306155,33.9,2.8110623486682806,2.6000000000000014,5.299999999999997,0
Bream,700.0,30.4,33.0,38.5,14.938,5.1975,2360.263752,0.2965768985902307,33.96666666666667,2.8735212080407813,2.6000000000000014,5.5,0
Bream,610.0,30.9,33.5,38.6,15.633,5.1338,2479.9318878599997,0.24597439833397478,34.333333333333336,3.04451974760458,2.6000000000000014,5.100000000000001,0
Bream,650.0,31.0,33.5,38.7,14.4738,5.7276,2569.90424328,0.25292761345955206,34.4,2.526585902314702,2.5,5.200000000000003,0
Bream,575.0,31.3,34.0,39.5,15.1285,5.5695,2637.281057475,0.21802749477259908,34.93333333333333,2.7158244322771745,2.6999999999999993,5.5,0
Bream,685.0,31.4,34.0,39.2,15.9936,5.3704,2697.009724416,0.25398490031897336,34.86666666666667,2.9775477529135794,2.6000000000000014,5.200000000000003,0
Bream,620.0,31.5,34.5,39.7,15.5227,5.2801,2581.784360505,0.24014389789503154,35.233333333333334,2.939292950332317,3.0,5.200000000000003,0
Bream,680.0,31.8,35.0,40.6,15.4686,6.1306,3015.6512132880002,0.22549019313423685,35.800000000000004,2.5227673038032488,3.1999999999999993,5.600000000000001,0
Bream,700.0,31.9,35.0,40.5,16.2405,5.589,2895.50412855,0.24175401835690868,35.800000000000004,2.9052772808586758,3.1000000000000014,5.5,0
Bream,725.0,31.8,35.0,40.9,16.36,6.0532,3149.1651936000003,0.23021966940754215,35.9,2.7022562848931315,3.1999999999999993,5.899999999999999,0
Bream,720.0,32.0,35.0,40.6,16.3618,6.09,3188.587584,0.22580523671598265,35.86666666666667,2.686225578722705,3.0,5.600000000000001,0
Bream,714.0,32.7,36.0,41.5,16.517,5.8515,3160.4296738499997,0.22591857682807942,36.733333333333334,2.8222127296027337,3.299999999999997,5.5,0
Bream,850.0,32.8,36.0,41.6,16.8896,6.1984,3433.7826897920004,0.24754034522526613,36.800000000000004,2.7243926831628866,3.200000000000003,5.600000000000001,0
Bream,1000.0,33.5,37.0,42.6,18.957,6.603,4193.2978785000005,0.23847572733897598,37.699999999999996,2.87053301029679,3.5,5.600000000000001,0
Bream,920.0,35.0,38.5,44.1,18.0369,6.3063,3981.1135864499997,0.231091062571091,39.199999999999996,2.8596863951294527,3.5,5.600000000000001,0
Bream,955.0,35.0,38.5,44.0,18.084,6.292,3982.4584799999993,0.23980156101927247,39.166666666666664,2.8736691562053074,3.5,5.5,0
Bream,925.0,36.2,39.5,45.3,18.7542,6.7497,4582.3850993880005,0.20185990004716933,40.333333333333336,2.778111899506718,3.299999999999997,5.799999999999997,0
Bream,975.0,37.4,41.0,45.9,18.6354,6.7473,4702.624927308,0.20733097105134513,41.43333333333334,2.761495487752471,3.6000000000000014,4.899999999999999,0
Bream,950.0,38.0,41.0,46.5,17.6235,6.3705,4266.2792565,0.22267641666358023,41.833333333333336,2.765989170524994,3.0,5.5,0
Roach,40.0,12.9,14.1,16.2,4.1472,2.268,121.33545983999998,0.3296618349731474,14.4,1.8277655354781843,1.1999999999999993,2.0999999999999996,4
Roach,69.0,16.5,18.2,20.3,5.2983,2.8217,246.67851631500002,0.27971515848072975,18.333333333333332,1.8770326283345735,1.6999999999999993,2.1000000000000014,4
Roach,78.0,17.5,18.8,21.2,5.5756,2.9044,283.39102119999995,0.27523710678132535,19.166666666666668,1.9190472912507746,1.3000000000000007,2.3999999999999986,4
Roach,87.0,18.2,19.8,22.2,5.6166,3.1746,324.5143421519999,0.26809210135664413,20.066666666666666,1.768673636478146,1.6000000000000014,2.3999999999999986,4
Roach,120.0,18.6,20.0,22.2,6.216,3.5742,413.24042592,0.2903871501576683,20.266666666666666,1.7386439919445067,1.3999999999999986,2.1999999999999993,4
Roach,0.0,19.0,20.5,22.8,6.4752,3.3516,412.34332608,0.0,20.766666666666666,1.9313965280677685,1.5,2.3000000000000007,4
Roach,110.0,19.1,20.8,23.1,6.1677,3.3957,400.02388479900003,0.27498289276496274,21.000000000000004,1.815791797921512,1.6999999999999993,2.3000000000000007,4
Roach,120.0,19.4,21.0,23.7,6.1146,3.2943,390.780539532,0.3070769416173344,21.366666666666664,1.8555518465693566,1.6000000000000014,2.6999999999999993,4
Roach,150.0,20.4,22.0,24.7,5.8045,3.7544,444.56526191999995,0.3374075202022249,22.366666666666664,1.5456409437077276,1.6000000000000014,2.6999999999999993,4
Roach,145.0,20.5,22.0,24.3,6.6339,3.5478,482.48288361,0.3005281729103433,22.266666666666666,1.8693361136158702,1.5,2.3000000000000007,4
Roach,160.0,20.5,22.5,25.3,7.0334,3.8203,550.8288094100001,0.290470844654137,22.766666666666666,1.840577813832989,2.0,2.8000000000000007,4
Roach,140.0,21.0,22.5,25.0,6.55,3.325,457.35375,0.3061081141061725,22.833333333333332,1.9693325315694528,1.5,2.5,4
Roach,160.0,21.1,22.5,25.0,6.4,3.8,513.152,0.31179784586663234,22.866666666666664,1.6837674296237835,1.3999999999999986,2.5,4
Roach,169.0,22.0,24.0,27.2,7.5344,3.8352,635.71047936,0.2658438701942901,24.400000000000002,1.9640269016213963,2.0,3.1999999999999993,4
Roach,161.0,22.0,23.4,26.7,6.9153,3.6312,552.4384219200001,0.2914346688736394,24.03333333333333,1.9038874511315456,1.3999999999999986,3.3000000000000007,4
Roach,200.0,22.1,23.5,26.8,7.3968,4.1272,674.670412416,0.29644060252056553,24.133333333333336,1.79177365437721,1.3999999999999986,3.3000000000000007,4
Roach,180.0,23.6,25.2,27.9,7.0866,3.906,653.25412656,0.27554318777086156,25.566666666666663,1.81382134630151,1.5999999999999979,2.6999999999999993,4
Roach,290.0,24.0,26.0,29.2,8.8768,4.4968,958.01266176,0.30270967061913395,26.400000000000002,1.9735870870203207,2.0,3.1999999999999993,4
Roach,272.0,25.0,27.0,30.6,8.568,4.7736,1022.5051199999999,0.26601307775057625,27.53333333333333,1.794495873999916,2.0,3.6000000000000014,4
Roach,390.0,29.5,31.7,35.0,9.485,5.355,1498.3691625000001,0.2602828124589006,32.06666666666667,1.7709111277072438,2.1999999999999993,3.3000000000000007,4
Whitefish,270.0,23.6,26.0,28.7,8.3804,4.2476,840.0794541440001,0.3213977883524459,26.099999999999998,1.9725085910652917,2.3999999999999986,2.6999999999999993,6
Whitefish,270.0,24.1,26.5,29.3,8.1454,4.2485,833.9981387900001,0.3237413414979385,26.633333333333336,1.9167902106130132,2.3999999999999986,2.8000000000000007,6
Whitefish,306.0,25.6,28.0,30.8,8.778,4.6816,1052.0341708800001,0.2908648004078028,28.133333333333336,1.8745995814291203,2.3999999999999986,2.8000000000000007,6
Whitefish,540.0,28.5,31.0,34.0,10.744,6.562,2009.3106480000001,0.26874875310532215,31.166666666666668,1.6370562242876732,2.5,3.0,6
Whitefish,800.0,33.7,36.4,39.6,11.7612,6.5736,2605.462399584,0.3070471072929796,36.56666666666666,1.7888844948742129,2.6999999999999957,3.200000000000003,6
Whitefish,1000.0,37.3,40.0,43.5,12.354,6.525,3006.7474049999996,0.33258519347248144,40.266666666666666,1.8930432117683111,2.700000000000003,3.5,6
Parkki,55.0,13.5,14.7,16.5,6.8475,2.3265,215.06456812499997,0.25573596219750533,14.9,2.9419978517722885,1.1999999999999993,1.8000000000000007,1
Parkki,60.0,14.3,15.5,17.4,6.5772,2.3142,217.65967423200001,0.2756584312334126,15.733333333333334,2.8408776779543885,1.1999999999999993,1.8999999999999986,1
Parkki,90.0,16.3,17.7,19.8,7.4052,2.673,322.64382348000004,0.27894450321338843,17.933333333333334,2.7693343305908753,1.3999999999999986,2.1000000000000014,1
Parkki,120.0,17.5,19.0,21.3,8.3922,2.9181,428.56237935,0.28000525892343725,19.266666666666666,2.8749272035901483,1.5,2.3000000000000007,1
Parkki,150.0,18.4,20.0,22.4,8.8928,3.2928,538.7926978559999,0.278399692863686,20.266666666666666,2.699860343675997,1.6000000000000014,2.3999999999999986,1
Parkki,140.0,19.0,20.7,23.2,8.5376,3.2944,534.39911936,0.2619759893909916,20.96666666666667,2.5907628815925228,1.6999999999999993,2.5,1
Parkki,170.0,19.0,20.7,23.2,9.396,3.4104,608.8382496,0.2792198435164749,20.96666666666667,2.7542944245764205,1.6999999999999993,2.5,1
Parkki,145.0,19.8,21.5,24.1,9.7364,3.1571,608.628011112,0.23824036868547677,21.8,3.082992938792312,1.6999999999999993,2.6000000000000014,1
Parkki,200.0,21.2,23.0,25.8,10.3458,3.6636,803.540905056,0.24889803349591544,23.333333333333332,2.8231730611799377,1.8000000000000007,2.8000000000000007,1
Parkki,273.0,23.0,25.0,28.0,11.088,4.144,1056.819456,0.2583220247583853,25.333333333333332,2.6750301568154398,2.0,3.0,1
Parkki,300.0,24.0,26.0,29.0,11.368,4.234,1155.170688,0.2597016557074761,26.333333333333332,2.684297520661157,2.0,3.0,1
Perch,5.9,7.5,8.4,8.8,2.112,1.408,22.302719999999997,0.2645298631797745,8.233333333333334,1.498935415188077,0.9000000000000004,0.40000000000000036,2
Perch,32.0,12.5,13.7,14.7,3.528,1.9992,88.16472,0.3629528574144236,13.633333333333333,1.7638236176382363,1.1999999999999993,1.0,2
Perch,40.0,13.8,15.0,16.0,3.824,2.432,128.3395584,0.31167076486711004,14.933333333333332,1.5717221537196877,1.1999999999999993,1.0,2
Perch,51.5,15.0,16.2,17.2,4.5924,2.6316,181.2803976,0.2840887188747049,16.133333333333333,1.7444351591582463,1.1999999999999993,1.0,2
Perch,70.0,15.7,17.4,18.5,4.588,2.9415,211.8809514,0.3303726416406792,17.2,1.5592183517417164,1.6999999999999993,1.1000000000000014,2
Perch,100.0,16.2,18.0,19.2,5.2224,3.3216,281.01692620800003,0.35584918495905266,17.8,1.5717811352555229,1.8000000000000007,1.1999999999999993,2
Perch,78.0,16.8,18.7,19.4,5.1992,3.1234,272.81824550400006,0.285903583729603,18.3,1.664063500192037,1.8999999999999986,0.6999999999999993,2
Perch,80.0,17.2,19.0,20.2,5.6358,3.0502,295.6734551519999,0.270567844485834,18.8,1.8470765600419508,1.8000000000000007,1.1999999999999993,2
Perch,85.0,17.8,19.6,20.8,5.1376,3.0368,277.713173504,0.30607008251516454,19.400000000000002,1.691223912041609,1.8000000000000007,1.1999999999999993,2
Perch,85.0,18.2,20.0,21.0,5.082,2.772,256.38893279999996,0.3315262774623264,19.733333333333334,1.8326721961774253,1.8000000000000007,1.0,2
Perch,110.0,19.0,21.0,22.5,5.6925,3.555,384.4999125,0.28608514680703134,20.833333333333332,1.6008155230596175,2.0,1.5,2
Perch,115.0,19.0,21.0,22.5,5.9175,3.3075,371.87049375000004,0.30924661323277347,20.833333333333332,1.788574882877437,2.0,1.5,2
Perch,125.0,19.0,21.0,22.5,5.6925,3.6675,396.66763125,0.31512448969331,20.833333333333332,1.5517241379310345,2.0,1.5,2
Perch,130.0,19.3,21.3,22.8,6.384,3.534,435.4283808,0.298555875492727,21.133333333333336,1.8059405940594062,2.0,1.5,2
Perch,120.0,20.0,22.0,23.5,6.11,3.4075,416.39650000000006,0.28818616826469895,21.833333333333332,1.7925773800792137,2.0,1.5,2
Perch,120.0,20.0,22.0,23.5,5.64,3.525,397.62,0.3017949253183308,21.833333333333332,1.5995462280204198,2.0,1.5,2
Perch,130.0,20.0,22.0,23.5,6.11,3.525,430.755,0.3017949837030709,21.833333333333332,1.7328417470221216,2.0,1.5,2
Perch,135.0,20.0,22.0,23.5,5.875,3.525,414.1875,0.32593855213266426,21.833333333333332,1.6661939875212706,2.0,1.5,2
Perch,110.0,20.0,22.0,23.5,5.5225,3.995,441.24775,0.249292490913572,21.833333333333332,1.382007007007007,2.0,1.5,2
Perch,130.0,20.5,22.5,24.0,5.856,3.624,435.05395200000004,0.2988128267529753,22.333333333333332,1.615448275862069,2.0,1.5,2
Perch,150.0,20.5,22.5,24.0,6.792,3.624,504.59126399999997,0.29726971795191853,22.333333333333332,1.873655172413793,2.0,1.5,2
Perch,145.0,20.7,22.7,24.2,5.9532,3.63,447.32940119999995,0.32414519471742986,22.53333333333333,1.6395483337923438,2.0,1.5,2
Perch,150.0,21.0,23.0,24.5,5.2185,3.626,397.36790099999996,0.37748298777915695,22.833333333333332,1.4387923904052937,2.0,1.5,2
Perch,170.0,21.5,23.5,25.0,6.275,3.725,502.5490625,0.3382747564577211,23.333333333333332,1.684111647879764,2.0,1.5,2
Perch,225.0,22.0,24.0,25.5,7.293,3.723,597.340458,0.3766689838561314,23.833333333333332,1.9583780880773363,2.0,1.5,2
Perch,145.0,22.0,24.0,25.5,6.375,3.825,536.4562500000001,0.27029180796792285,23.833333333333332,1.6662310507056979,2.0,1.5,2
Perch,188.0,22.6,24.6,26.2,6.7334,4.1658,633.929948472,0.29656226826146787,24.46666666666667,1.6159642891427473,2.0,1.5999999999999979,2
Perch,180.0,23.0,25.0,26.5,6.4395,3.6835,545.55765975,0.32993702287208543,24.833333333333332,1.7477269643099471,2.0,1.5,2
Perch,197.0,23.5,25.6,27.0,6.561,4.239,653.5838565,0.3014145723249327,25.366666666666664,1.5474056603773585,2.1000000000000014,1.3999999999999986,2
Perch,218.0,25.0,26.5,28.0,7.168,4.144,742.6048000000001,0.2935608636506744,26.5,1.7293124246079612,1.5,1.5,2
Perch,300.0,25.2,27.3,28.7,8.323,5.1373,1077.49524708,0.27842324352682984,27.066666666666666,1.6197964307261157,2.1000000000000014,1.3999999999999986,2
Perch,260.0,25.4,27.5,28.9,7.1672,4.335,789.1732248,0.3294583018925785,27.266666666666666,1.652952029520295,2.1000000000000014,1.3999999999999986,2
Perch,265.0,25.4,27.5,28.9,7.0516,4.335,776.4446244,0.3412988516804114,27.266666666666666,1.626291512915129,2.1000000000000014,1.3999999999999986,2
Perch,250.0,25.4,27.5,28.9,7.2828,4.5662,844.669922544,0.2959732522187979,27.266666666666666,1.594587493431424,2.1000000000000014,1.3999999999999986,2
Perch,250.0,25.9,28.0,29.4,7.8204,4.2042,851.553815112,0.2935806310567558,27.766666666666666,1.8596975173594597,2.1000000000000014,1.3999999999999986,2
Perch,300.0,26.9,28.7,30.1,7.5852,4.6354,945.8157305519999,0.3171861844999435,28.566666666666663,1.6360106979553102,1.8000000000000007,1.4000000000000021,2
Perch,320.0,27.8,30.0,31.6,7.6156,4.7716,1010.2129954880002,0.3167645681303582,29.8,1.5956920755982062,2.1999999999999993,1.6000000000000014,2
Perch,514.0,30.5,32.8,34.0,10.03,6.018,1840.9964699999998,0.2791964727686454,32.43333333333333,1.6663897657418174,2.299999999999997,1.2000000000000028,2
Perch,556.0,32.0,34.5,36.5,10.2565,6.3875,2096.4286,0.26521281706764677,34.333333333333336,1.6054629412225092,2.5,2.0,2
Perch,840.0,32.5,35.0,37.3,11.4884,7.7957,2910.7038961,0.2885898880114918,34.93333333333333,1.4734951966857772,2.5,2.299999999999997,2
Perch,685.0,34.0,36.5,39.0,10.881,6.864,2539.364256,0.26975245029500394,36.5,1.5849963583394027,2.5,2.5,2
Perch,700.0,34.0,36.0,38.3,10.6091,6.7408,2431.46992352,0.2878915775750349,36.1,1.5736301877836778,2.0,2.299999999999997,2
Perch,700.0,34.5,37.0,39.4,10.835,6.2646,2341.7544645,0.2989210490214274,36.96666666666667,1.7292837078651686,2.5,2.3999999999999986,2
Perch,690.0,34.6,37.0,39.3,10.5717,6.3666,2328.780168612,0.29629233064060445,36.96666666666666,1.660233054840128,2.3999999999999986,2.299999999999997,2
Perch,900.0,36.5,39.0,41.4,11.1366,7.4934,3045.96144306,0.2954731113151389,38.96666666666667,1.4859895388556787,2.5,2.3999999999999986,2
Perch,650.0,36.5,39.0,41.4,11.1366,6.003,2440.1348577,0.2663786108256574,38.96666666666667,1.854863424383744,2.5,2.3999999999999986,2
Perch,820.0,36.6,39.0,41.3,12.4313,7.3514,3344.780992812,0.24515798092736552,38.96666666666666,1.6907812414993744,2.3999999999999986,2.299999999999997,2
Perch,850.0,36.9,40.0,42.3,11.9286,7.1064,3127.9909721759996,0.2717398278387186,39.733333333333334,1.6783352562118354,3.1000000000000014,2.299999999999997,2
Perch,900.0,37.0,40.0,42.5,11.73,7.225,3135.72225,0.28701512482008734,39.833333333333336,1.62330473290894,3.0,2.5,2
Perch,1015.0,37.0,40.0,42.4,12.3808,7.4624,3418.44783104,0.29691829545133336,39.800000000000004,1.6588686121606775,3.0,2.3999999999999986,2
Perch,820.0,37.1,40.0,42.5,11.135,6.63,2738.909355,0.29938913426029234,39.86666666666667,1.6792339013723419,2.8999999999999986,2.5,2
Perch,1100.0,39.0,42.0,44.6,12.8002,6.8684,3428.7588535200002,0.3208157021760298,41.86666666666667,1.863365068273794,3.0,2.6000000000000014,2
Perch,1000.0,39.8,43.0,45.2,11.9328,7.2772,3456.1274119679997,0.28934110102424604,42.666666666666664,1.63952625649199,3.200000000000003,2.200000000000003,2
Perch,1100.0,40.1,43.0,45.5,12.5125,7.4165,3721.238145625,0.2956004591355683,42.86666666666667,1.6868891135827433,2.8999999999999986,2.5,2
Perch,1000.0,40.2,43.5,46.0,12.604,8.142,4125.3950736,0.2424009676063313,43.23333333333333,1.5478324941667692,3.299999999999997,2.5,2
Perch,1000.0,41.1,44.0,46.6,12.4888,7.5958,3898.845751344,0.25648610057712135,43.9,1.643955349620893,2.8999999999999986,2.6000000000000014,2
Pike,200.0,30.0,32.3,34.8,5.568,3.3756,563.860224,0.3546972047150382,32.36666666666667,1.6489960315109873,2.299999999999997,2.5,3
Pike,300.0,31.7,34.0,37.8,5.7078,4.158,752.33712708,0.39875687433836443,34.5,1.372397210867997,2.3000000000000007,3.799999999999997,3
Pike,300.0,32.7,35.0,38.8,5.9364,4.3844,851.1009556320001,0.3524842094590535,35.5,1.353673553153646,2.299999999999997,3.799999999999997,3
Pike,300.0,34.8,37.3,39.8,6.2884,4.0198,879.678239136,0.3410333979174646,37.3,1.563967369677676,2.5,2.5,3
Pike,430.0,35.5,38.0,40.5,7.29,4.5765,1184.3753175000002,0.36306028214719005,38.0,1.5925723648279626,2.5,2.5,3
Pike,345.0,36.0,38.5,41.0,6.396,3.977,915.728112,0.37674897027845067,38.5,1.607843137254902,2.5,2.5,3
Pike,456.0,40.0,42.5,45.5,7.28,4.3225,1258.712,0.36227479973592075,42.666666666666664,1.6838209783740026,2.5,3.0,3
Pike,510.0,40.0,42.5,45.5,6.825,4.459,1217.3069999999998,0.4189572400739994,42.666666666666664,1.5302690582959642,2.5,3.0,3
Pike,540.0,40.1,43.0,45.8,7.786,5.1296,1601.5565305599998,0.3371717779074623,42.96666666666666,1.517561298873426,2.8999999999999986,2.799999999999997,3
Pike,500.0,42.0,45.0,48.0,6.96,4.896,1431.1987199999999,0.3493572511319385,45.0,1.4212783336736776,3.0,3.0,3
Pike,567.0,43.2,46.0,48.7,7.792,4.87,1639.312128,0.3458765688601257,45.96666666666667,1.5996715253541365,2.799999999999997,2.700000000000003,3
Pike,770.0,44.8,48.0,51.2,7.68,5.376,1849.688064,0.41628618289760294,48.0,1.4283057466989024,3.200000000000003,3.200000000000003,3
Pike,950.0,48.3,51.7,55.1,8.9262,6.1712,2660.6231507519997,0.35705907568022777,51.699999999999996,1.4461942257217848,3.4000000000000057,3.3999999999999986,3
Pike,1250.0,52.0,56.0,59.7,10.6863,6.9849,3881.4223172399998,0.3220468106243174,55.9,1.5296955295666985,4.0,3.700000000000003,3
Pike,1600.0,56.0,60.0,64.0,9.6,6.144,3303.0144,0.4844058553284371,60.0,1.5622457282343367,4.0,4.0,3
Pike,1550.0,56.0,60.0,64.0,9.6,6.144,3303.0144,0.4692681723494235,60.0,1.5622457282343367,4.0,4.0,3
Pike,1650.0,59.0,63.4,68.0,10.812,7.48,4771.55184,0.34579937712688097,63.46666666666667,1.4452613286993714,4.399999999999999,4.600000000000001,3
Smelt,6.7,9.3,9.8,10.8,1.7388,1.0476,16.940571984,0.39547687819805794,9.966666666666667,1.658210947930574,0.5,1.0,5
Smelt,7.5,10.0,10.5,11.6,1.972,1.16,22.875199999999996,0.3278516536837412,10.700000000000001,1.6985357450473733,0.5,1.0999999999999996,5
Smelt,7.0,10.1,10.6,11.6,1.7284,1.1484,20.047435056,0.3491544342711713,10.766666666666666,1.5037410823038106,0.5,1.0,5
Smelt,9.7,10.4,11.0,12.0,2.196,1.38,31.516992000000002,0.307760722827774,11.133333333333333,1.590152063721941,0.5999999999999996,1.0,5
Smelt,9.8,10.7,11.2,12.4,2.0832,1.2772,28.469094528,0.34422084515250967,11.433333333333332,1.6297918948521362,0.5,1.200000000000001,5
Smelt,8.7,10.8,11.3,12.6,1.9782,1.2852,27.457732512,0.31683909649500136,11.566666666666668,1.5380189706111027,0.5,1.299999999999999,5
Smelt,10.0,11.3,11.8,13.1,2.2139,1.2838,32.116914466000004,0.3113527190747703,12.066666666666668,1.723147571606476,0.5,1.299999999999999,5
Smelt,9.9,11.3,11.8,13.1,2.2139,1.1659,29.167401913000003,0.3394083786121889,12.066666666666668,1.897249121604251,0.5,1.299999999999999,5
Smelt,9.8,11.4,12.0,13.2,2.2044,1.1484,28.859475744000008,0.3395647419997013,12.199999999999998,1.9178701931442492,0.5999999999999996,1.1999999999999993,5
Smelt,12.2,11.5,12.2,13.4,2.0904,1.3936,33.50158655999999,0.36415098810806573,12.366666666666667,1.4989244227735552,0.6999999999999993,1.200000000000001,5
Smelt,13.4,11.7,12.4,13.5,2.43,1.269,36.078939,0.3713975237042391,12.533333333333333,1.913385826771654,0.7000000000000011,1.0999999999999996,5
Smelt,12.2,12.1,13.0,13.8,2.277,1.2558,34.59942486,0.35259682646567364,12.966666666666669,1.811744112030554,0.9000000000000004,0.8000000000000007,5
Smelt,19.7,13.2,14.3,15.2,2.8728,2.0672,78.39020851199999,0.2513036904767753,14.233333333333334,1.3890339425587466,1.1000000000000014,0.8999999999999986,5
Smelt,19.9,13.8,15.0,16.2,2.9322,1.8792,76.040625312,0.26169877245982026,15.0,1.559514945218594,1.1999999999999993,1.1999999999999993,5
